院校代码,学校名,所在地,城市,办学性质,学校类型,标签,科目,批次,人数,2022分数,2021分数,2020分数,2022最低位次,2021最低位次,2020最低位次
3724,中央财经大学,北京,北京,公立,财经,"双一流,211,国家重点",文,本科一批,20,590,577,617,1302,13736,654
3726,中央民族大学,北京,北京,公立,民族,"双一流,985,211",文,本科一批,29,590,633,607,1309,1228,1288
1069,北京化工大学,北京,北京,公立,理工,"双一流,211,国家重点",理,本科一批,106,589,604,623,15562,12628,11853
1294,重庆医科大学(中外合作),重庆,重庆,公立,医药,"国家重点,保研资格,卓越医生",理,本科一批,3,589,596,613,15285,15732,15921
2056,华东政法大学,上海,上海,公立,政法,"省重点,保研资格,卓越法律",理,本科一批,96,589,600,623,15339,14124,11853
2304,兰州大学(中外合作),甘肃,兰州,公立,综合,"双一流,985,211",理,本科一批,15,589,594,607,15433,16513,18666
3222,武汉大学(护理学),湖北,武汉,公立,综合,"双一流,985,211",理,本科一批,2,589,580,,15341,22842,
3321,西北政法大学,陕西,西安,公立,政法,"保研资格,卓越法律,双万计划",理,本科一批,6,589,598,611,15261,14928,16825
3716,中南财经政法大学,湖北,武汉,公立,财经,"双一流,211,中央部属",文,本科一批,47,589,630,605,1379,1474,1458
3717,中南大学,湖南,长沙,公立,综合,"双一流,985,211",理,本科一批,247,589,629,644,15251,5662,5499
1688,哈尔滨工业大学,黑龙江,哈尔滨,公立,理工,"双一流,985,211",文,本科一批,20,588,629,607,1434,1562,1288
2057,华南理工大学,广东,广州,公立,综合,"双一流,985,211",文,本科一批,24,588,633,609,1475,1228,1145
2712,山东大学(威海)(中外合作),山东,威海,公立,综合,"985,211,国家重点",文,本科一批,2,588,627,601,1405,1772,1725
2712,山东大学(威海),山东,威海,公立,综合,"985,211,国家重点",文,本科一批,24,588,630,603,1401,1474,1580
2863,上海大学,上海,上海,公立,综合,"双一流,211,省重点",文,本科一批,17,588,631,605,1451,1380,1458
1072,北京交通大学,北京,北京,公立,理工,"双一流,211,国家重点",文,本科一批,8,587,630,606,1543,1474,1370
1072,北京交通大学(中外合作),北京,北京,公立,理工,"双一流,211,国家重点",理,本科一批,8,587,593,610,16364,16917,17287
1368,东北师范大学,吉林,长春,公立,师范,"双一流,211,国家重点",理,本科一批,31,587,592,576,16282,17328,35923
1414,福州大学,福建,福州,公立,理工,"双一流,211,省重点",理,本科一批,29,587,599,619,16253,14530,13422
2712,山东大学(威海)(中外合作),山东,威海,公立,综合,"985,211,国家重点",理,本科一批,24,587,601,616,16510,13754,14491
2841,陕西师范大学,陕西,西安,公立,师范,"双一流,211,国家重点",理,本科一批,17,587,597,612,16278,15342,16370
2979,首都师范大学,北京,北京,公立,师范,"双一流,省重点,保研资格",理,本科一批,12,587,594,610,16321,16513,17287
3241,武汉理工大学(中外合作),湖北,武汉,公立,理工,"双一流,211,中央部属",理,本科一批,8,587,592,610,16470,17328,17287
1103,北京外国语大学(中外合作),北京,北京,公立,语言,"双一流,211,国家重点",文,本科一批,2,586,629,603,1602,1562,1632
1114,北京邮电大学,北京,北京,公立,理工,"双一流,211,国家重点",文,本科一批,15,586,628,601,1629,1670,1830
2064,华中师范大学,湖北,武汉,公立,师范,"双一流,211,国家重点",文,本科一批,25,586,630,603,1610,1474,1632
3317,西北工业大学,陕西,西安,公立,理工,"双一流,985,211",文,本科一批,11,586,628,602,1638,1670,1724
3335,西南财经大学,四川,成都,公立,财经,"双一流,211,国家重点",文,本科一批,32,586,628,604,1562,1670,1535
3704,中国社会科学院大学,北京,北京,公立,综合,"国家重点,保研资格,双万计划",文,本科一批,17,586,628,610,1572,1670,1073
1063,北京工业大学(中外合作),北京,北京,公立,理工,"双一流,211,保研资格",理,本科一批,11,585,591,609,17322,17760,17735
1373,东华大学,上海,上海,公立,综合,"双一流,211,国家重点",文,本科一批,18,585,627,602,1666,1772,1724
2046,华北电力大学(保定),河北,保定,公立,理工,"211,国家重点,中央部属",理,本科一批,114,585,597,620,17016,15342,13036
3337,西南大学,重庆,重庆,公立,综合,"双一流,211,国家重点",文,本科一批,9,585,626,600,1731,1850,1945
